Constituency_No,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,11-03-1972,-1,-1,False,13,0,13,0,0,0,6,0,6,7,0,7,5,0,5,20,0,0.0,MAG,RANE JAISINGRAO ABASAHEB,5477,INC,DESHPRABHU  RAGHUNATHRAO,2828,8,0,0.0,5826,6523,12349,0,0,0,5826,6523,12349,12,0,0.0,4430,4676,9106,0,0,0,4430,4676,9106,12,0,0.0,9106,8883,223,0,0,10,0,0.0
2,11-03-1972,-1,-1,False,8,0,8,0,0,0,4,0,4,4,0,4,2,0,2,20,0,0.0,MAG,B. B. BALKRISHNA,8254,INC,KAMULKAR VIJAY MARUTI,2006,8,0,0.0,7543,8338,15881,0,0,0,7543,8338,15881,12,0,0.0,5790,5797,11587,0,0,0,5790,5797,11587,12,0,0.0,11587,11318,269,0,0,10,0,0.0
3,11-03-1972,-1,-1,False,8,0,8,0,0,0,3,0,3,5,0,5,3,0,3,20,0,0.0,MAG,C. CHANDRAKANT UTTOM,5638,UGS,S. SOUZAW  A. TITO FERMINA,4789,8,0,0.0,6436,8082,14518,0,0,0,6436,8082,14518,12,0,0.0,5090,6047,11137,0,0,0,5090,6047,11137,12,0,0.0,11137,10975,162,0,0,10,0,0.0
4,11-03-1972,-1,-1,False,6,0,6,0,0,0,3,0,3,3,0,3,1,0,1,20,0,0.0,UGS,JAGDISH BHUJANG RAO,6032,MAG,D. CRUZ ANTHONY MANUEL,5425,8,0,0.0,7195,8922,16117,0,0,0,7195,8922,16117,12,0,0.0,5400,6630,12030,0,0,0,5400,6630,12030,12,0,0.0,12030,11823,207,0,0,10,0,0.0
5,11-03-1972,-1,-1,False,5,0,5,0,0,0,2,0,2,3,0,3,1,0,1,20,0,0.0,UGS,SOUSA SILVERIO JOSE,5733,IND,SILVER ANACLETO MARIAND,1953,8,0,0.0,8526,6867,15393,0,0,0,8526,6867,15393,12,0,0.0,3979,5229,9208,0,0,0,3979,5229,9208,12,0,0.0,9208,8950,258,0,0,10,0,0.0
6,11-03-1972,-1,-1,False,8,0,8,0,0,0,3,0,3,5,0,5,3,0,3,20,0,0.0,MAG,PANKAR RAGHUVIR SHANU,5718,UGS,N. S. PANDURANG,3532,8,0,0.0,8047,7770,15817,0,0,0,8047,7770,15817,12,0,0.0,5922,5934,11856,0,0,0,5922,5934,11856,12,0,0.0,11856,11676,180,0,0,10,0,0.0
7,11-03-1972,-1,-1,False,7,0,7,0,0,0,3,0,3,4,0,4,2,0,2,20,0,0.0,MAG,ACHREKAR PUNAJI PANDURANG,5390,INC,GOPAL GOVIND MAYEKAR,2361,8,0,0.0,6199,6864,13063,0,0,0,6199,6864,13063,12,0,0.0,4653,4980,9633,0,0,0,4653,4980,9633,12,0,0.0,9633,9350,283,0,0,10,0,0.0
8,11-03-1972,-1,-1,False,7,1,8,1,0,1,1,0,1,5,1,6,4,0,4,20,0,0.0,MAG,K. S. GURUDUTTA,6589,INC,S. RAMESH NARAYAN,2393,8,0,0.0,6394,6189,12583,0,0,0,6394,6189,12583,12,0,0.0,5315,4916,10231,0,0,0,5315,4916,10231,12,0,0.0,10231,10072,159,0,0,10,0,0.0
9,11-03-1972,-1,-1,False,7,0,7,0,0,0,3,0,3,4,0,4,2,0,2,20,0,0.0,MAG,S. U. A. KASHINATH,4885,INC,S. U. PRABHAKAR KRISHNA,2706,8,0,0.0,6652,6258,12910,0,0,0,6652,6258,12910,12,0,0.0,5409,4381,9790,0,0,0,5409,4381,9790,12,0,0.0,9790,9543,247,0,0,10,0,0.0
10,11-03-1972,-1,-1,False,8,0,8,0,0,0,1,0,1,7,0,7,5,0,5,20,0,0.0,MAG,R. S. P. RAOJI,5005,SOP,RANE JAISINGRAO VENKATRAO,2322,8,0,0.0,7015,7272,14287,0,0,0,7015,7272,14287,12,0,0.0,5539,4655,10194,0,0,0,5539,4655,10194,12,0,0.0,10194,9660,534,0,0,10,0,0.0
