Constituency_No,Uncontested,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,False,16-11-1994,27,669,True,0,0,0,0,0,0,0,0,0,6,1,7,5,0,5,20,9,45.0,INC,PARAB SANGEETA GOPAL,6989,MAG,KHALAP RAMAKANT DATTARAM,6356,8,0,0.0,9186,8875,18061,10,1,11,9196,8876,18072,12,0,0.0,7176,6862,14038,61,2,63,7237,6864,14101,12,0,0.0,14101,13945,156,0,0,10,1,10.0
2,False,16-11-1994,24,699,True,0,0,0,0,0,0,0,0,0,8,0,8,6,0,6,20,9,45.0,MAG,KOTKAR PARSHURAM NAGESH,8198,INC,SALGAONKAR SHANKAR KASHINATH,3919,8,0,0.0,8532,8239,16771,2,0,2,8534,8239,16773,12,0,0.0,6728,6357,13085,79,0,79,6807,6357,13164,12,0,0.0,13164,12993,171,0,0,10,1,10.0
3,False,16-11-1994,21,661,True,0,0,0,0,0,0,0,0,0,6,0,6,4,0,4,20,9,45.0,MAG,MANDREKAR DEU GUNAJI,5915,INC,BANDEKAR SHAMBHU BHAU,2569,8,0,0.0,7066,6806,13872,7,3,10,7073,6809,13882,12,0,0.0,5079,4548,9627,67,2,69,5146,4550,9696,12,0,0.0,9696,9522,174,0,0,10,1,10.0
4,False,16-11-1994,25,912,True,0,0,0,0,0,0,0,0,0,6,0,6,4,0,4,20,9,45.0,INC,NARVEKAR DAYANAND GANESH,11299,MAG,NAIK VINAYAK VITHAL,3672,8,0,0.0,11474,11334,22808,2,0,2,11476,11334,22810,12,0,0.0,8196,8080,16276,56,8,64,8252,8088,16340,12,0,0.0,16340,16128,212,0,0,10,1,10.0
5,False,16-11-1994,24,901,True,0,0,0,0,0,0,0,0,0,7,0,7,5,0,5,20,9,45.0,MAG,SHIRSAT SURENDRA VASANT,6972,INC,NATEKAR GURUDAS BHALCHANDRA,6488,8,0,0.0,11087,10541,21628,0,0,0,11087,10541,21628,12,0,0.0,7249,6679,13928,76,6,82,7325,6685,14010,12,0,0.0,14010,13841,169,0,0,10,1,10.0
6,False,16-11-1994,29,779,True,0,0,0,0,0,0,0,0,0,8,0,8,5,0,5,20,9,45.0,MAG,CHODANKAR CHANDRAKANT UTTAM,7373,INC,NAIK SALGAONKAR ASHOK TUKARAM,5327,8,0,0.0,11184,11417,22601,2,0,2,11186,11417,22603,12,0,0.0,8159,8533,16692,66,7,73,8225,8540,16765,12,0,0.0,16765,16539,226,0,0,10,1,10.0
7,False,16-11-1994,26,837,True,0,0,0,0,0,0,0,0,0,8,0,8,5,0,5,20,9,45.0,INC,CARDOZ LEBART TOMAZIN,7716,IND,PARULEKAR SURESH VISHWANATH,3746,8,0,0.0,10601,11165,21766,2,1,3,10603,11166,21769,12,0,0.0,7479,7938,15417,41,6,47,7520,7944,15464,12,0,0.0,15464,15258,206,0,0,10,1,10.0
8,False,16-11-1994,20,945,True,0,0,0,0,0,0,0,0,0,6,0,6,4,0,4,20,9,45.0,INC,D'SOUZA WILFRED ANTHONY,6479,SHS,KALANGUTKAR DILIP SONU,5184,8,0,0.0,9013,9879,18892,2,0,2,9015,9879,18894,12,0,0.0,6842,7520,14362,46,6,52,6888,7526,14414,12,0,0.0,14414,14238,176,0,0,10,1,10.0
9,False,16-11-1994,31,835,True,0,0,0,0,0,0,0,0,0,8,2,10,7,1,8,20,9,45.0,INC,D'SA FATIMA JOSEPH PHILIP,8303,BJP,ASNODKER ULHAS GOPAL,7792,8,0,0.0,12683,13191,25874,5,1,6,12688,13192,25880,12,0,0.0,8707,9205,17912,131,8,139,8838,9213,18051,12,0,0.0,18051,17799,252,0,0,10,1,10.0
10,False,16-11-1994,22,767,True,0,0,0,0,0,0,0,0,0,12,0,12,10,0,10,20,9,45.0,BJP,PRABHU PARRIKAR MANOHAR GOPALKRISHNA,4600,INC,PRABHU KESHAV LAXIMIDHAR,3534,8,0,0.0,8635,8239,16874,4,3,7,8639,8242,16881,12,0,0.0,5358,5064,10422,99,26,125,5457,5090,10547,12,0,0.0,10547,10355,192,0,0,10,1,10.0
11,False,16-11-1994,24,871,True,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,20,9,45.0,INC,ZUWARKAR SOMNATH DATTA,6514,MAG,FERNANDES NICHOLAS PEDRO,6442,8,0,0.0,10842,10058,20900,0,0,0,10842,10058,20900,12,0,0.0,7153,6557,13710,46,20,66,7199,6577,13776,12,0,0.0,13776,13525,251,0,0,10,1,10.0
12,False,16-11-1994,31,784,True,0,0,0,0,0,0,0,0,0,7,1,8,5,0,5,20,9,45.0,IND,VICTORIA FERNANDES ROMEO,5971,INC,GONSALVES VICTOR BENJAMIN,4665,8,0,0.0,12458,11854,24312,2,1,3,12460,11855,24315,12,0,0.0,8777,8143,16920,58,20,78,8835,8163,16998,12,0,0.0,16998,16695,303,0,0,10,1,10.0
13,False,16-11-1994,27,753,True,0,0,0,0,0,0,0,0,0,12,0,12,9,0,9,20,9,45.0,INC,PEGADO CARMO RAFAEL,6433,BJP,PARVATKAR GOVIND BHIKAJI,4056,8,0,0.0,10062,10251,20313,4,2,6,10066,10253,20319,12,0,0.0,7305,7290,14595,20,4,24,7325,7294,14619,12,0,0.0,14619,14313,306,0,0,10,1,10.0
14,False,16-11-1994,33,712,True,0,0,0,0,0,0,0,0,0,14,0,14,12,0,12,20,9,45.0,INC,KUTTIKAR KRISHNA SAJU,6738,MAG,CHODANKAR DHARMA VASSUDEV,6428,8,0,0.0,11813,11682,23495,0,0,0,11813,11682,23495,12,0,0.0,7955,7962,15917,36,6,42,7991,7968,15959,12,0,0.0,15959,15694,265,0,0,10,1,10.0
