Constituency_No,Dates_DATE_POLLING,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_VOTES NOT RETREIVED_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,30-05-2002,01-06-2002,01-06-2002,27,721,True,8,1,9,1,0,1,1,0,1,6,1,7,4,0,4,20,0,0.0,BJP,PARSEKAR LAXIMIKANT YESHWANT,5955.0,INC,KHALAP RAMAKANT D,5047.0,8,0,0.0,9999,9447,19446,15,5,20,10014,9452,19466,12,0,0.0,7980,7141,15121,86,50,136,8066,7191,15257,12,0,0.0,15257,15250,7,0,0,10,0,0.0
2,30-05-2002,01-06-2002,01-06-2002,24,759,True,6,0,6,1,0,1,0,0,0,5,0,5,2,0,2,20,0,0.0,INC,DESHPRABHU JITENDRA RAGHURAJ,6778.0,BJP,DAYANAND RAGHUNATH SOPATE,4449.0,8,0,0.0,9321,8897,18218,4,1,5,9325,8898,18223,12,0,0.0,7309,6618,13927,82,60,142,7391,6678,14069,12,0,0.0,14069,14042,27,0,0,10,0,0.0
3,30-05-2002,01-06-2002,01-06-2002,21,746,True,4,0,4,1,0,1,0,0,0,3,0,3,1,0,1,20,0,0.0,BJP,AZGAONKAR MANOHAR TRIMBAK,8467.0,INC,DHARGALKAR BALKRISHNA ATMARAM,2705.0,8,0,0.0,8072,7586,15658,10,4,14,8082,7590,15672,12,0,0.0,6070,5235,11305,92,40,132,6162,5275,11437,12,0,0.0,11437,11430,7,0,5,10,0,0.0
4,30-05-2002,01-06-2002,01-06-2002,27,947,True,6,0,6,2,0,2,0,0,0,4,0,4,1,0,1,20,0,0.0,BJP,SHET SADANAND MHALU,6961.0,NCP,NILKANTH RAMNATH HALARNKAR,6440.0,8,0,0.0,12707,12856,25563,6,1,7,12713,12857,25570,12,0,0.0,9116,8922,18038,86,26,112,9202,8948,18150,12,0,0.0,18150,18137,13,0,1,10,0,0.0
5,30-05-2002,01-06-2002,01-06-2002,26,997,True,7,0,7,1,0,1,1,0,1,5,0,5,3,0,3,20,0,0.0,BJP,FRANCIS PEDRO D'SOUZA,8378.0,INC,BRAGANZA ARMINDO JOSE,6271.0,8,0,0.0,13146,12778,25924,1,0,1,13147,12778,25925,12,0,0.0,8266,7710,15976,78,11,89,8344,7721,16065,12,0,0.0,16065,16056,9,0,10,10,0,0.0
6,30-05-2002,01-06-2002,01-06-2002,29,861,True,11,0,11,1,0,1,0,0,0,10,0,10,7,0,7,20,0,0.0,BJP,MANDREKAR DAYANAND RAYU,7152.0,INC,FERNANDES FRANCIS GREGORIO,5245.0,8,0,0.0,12333,12623,24956,5,0,5,12338,12623,24961,12,0,0.0,8819,8757,17576,101,5,106,8920,8762,17682,12,0,0.0,17682,17663,19,0,5,10,0,0.0
7,30-05-2002,01-06-2002,01-06-2002,27,984,True,7,0,7,1,0,1,0,0,0,6,0,6,4,0,4,20,0,0.0,INC,FERNANDES AGNELO,9711.0,BJP,SURESH VISHWANATH PARULEKAR,7641.0,8,0,0.0,13236,13309,26545,20,15,35,13256,13324,26580,12,0,0.0,9063,9110,18173,44,3,47,9107,9113,18220,12,0,0.0,18220,18212,8,0,4,10,0,0.0
8,30-05-2002,01-06-2002,01-06-2002,21,1002,True,10,0,10,1,0,1,2,0,2,7,0,7,4,0,4,20,0,0.0,NCP,D' SOUZA WILFRED,4263.0,INC,D' MELLO TREJANO AGRICIO,3537.0,8,0,0.0,10269,10779,21048,3,0,3,10272,10779,21051,12,0,0.0,7316,7485,14801,69,3,72,7385,7488,14873,12,0,0.0,14873,14859,14,0,2,10,0,0.0
9,30-05-2002,01-06-2002,01-06-2002,32,935,True,6,0,6,1,0,1,0,0,0,5,0,5,3,0,3,20,0,0.0,INC,NARVEKAR DAYANAND GANESH,9957.0,BJP,ASNODKAR ULHAS GOPAL,7944.0,8,0,0.0,14815,15083,29898,9,5,14,14824,15088,29912,12,0,0.0,9792,9694,19486,158,13,171,9950,9707,19657,12,0,0.0,19657,19626,31,0,1,10,0,0.0
10,30-05-2002,01-06-2002,01-06-2002,22,708,True,5,0,5,1,0,1,0,0,0,4,0,4,2,0,2,20,0,0.0,BJP,PRABHU PARRIKAR MANOHAR GOPALKRISHNA,5700.0,INC,SILIMKHAN RAMESH,4408.0,8,0,0.0,7873,7708,15581,0,0,0,7873,7708,15581,12,0,0.0,5125,5040,10165,97,12,109,5222,5052,10274,12,0,0.0,10274,10255,19,0,3,10,0,0.0
