Constituency_No,Dates_DATE_POLLING,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_NOMINATION REJECTED_MEN,Candidates_Info_NOMINATION REJECTED_WOMEN,Candidates_Info_NOMINATION REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_PROXY_MEN,Voters_Info_PROXY_WOMEN,Voters_Info_PROXY_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_REJECTED VOTES_VALUE,Votes_Info_VOTES NOT RETREIVED FROM EVM_VALUE,Votes_Info_TOTAL VALID VOTES POLLED_VALUE,Votes_Info_TENDERED VOTES_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,02-Jun-2007,5-Jun-2007,05-Jun-2007,23,895,True,8,2,10,2,1,3,0,0,0,6,1,7,4,1,5,20,0,0.0,BJP,PARSEKAR LAXMIKANT,5858,INC,KHALAP RAMAKANT,4148,8,0,0.0,10511,10070,20581,17,4,21,10528,10074,20602,12,0,0.0,8474,7931,16405,0,0,0,105,0,0,16510,0,0,16,6,37.5,27.0,0.0,16483,1,8,0,0.0
2,02-Jun-2007,5-Jun-2007,05-Jun-2007,24,806,True,7,1,8,1,0,1,0,0,0,6,1,7,3,1,4,20,0,0.0,BJP,SOPTE DAYANAND RAGHUNATH,7272,INC,DESHPRABHU JITENDRA RAGHURAJ,4827,8,0,0.0,9765,9576,19341,6,2,8,9771,9578,19349,12,0,0.0,8007,7492,15499,0,0,0,145,0,0,15644,0,0,16,6,37.5,32.0,0.0,15612,2,8,0,0.0
3,02-Jun-2007,5-Jun-2007,05-Jun-2007,21,778,True,5,1,6,1,1,2,0,0,0,4,0,4,1,0,1,20,0,0.0,INC,AJGAONKAR MANOHAR TRIMBAK,5049,BJP,MORAJKAR VITHU,4275,8,0,0.0,8380,7947,16327,14,4,18,8394,7951,16345,12,0,0.0,6719,6220,12939,0,0,0,105,0,0,13044,0,0,16,6,37.5,22.0,0.0,13022,2,8,0,0.0
4,02-Jun-2007,5-Jun-2007,05-Jun-2007,25,1090,True,9,0,9,1,0,1,0,0,0,8,0,8,6,0,6,20,0,0.0,NCP,NILKANTH HALARNKAR,8768,BJP,SHET TANAWDE SADANAND MHALU,8444,8,0,0.0,13443,13811,27254,5,3,8,13448,13814,27262,12,0,0.0,9715,9972,19687,0,0,0,74,0,0,19761,0,0,16,6,37.5,,0.0,19760,6,6,0,0.0
5,02-Jun-2007,5-Jun-2007,05-Jun-2007,27,1049,True,9,0,9,1,0,1,1,0,1,7,0,7,5,0,5,20,0,0.0,BJP,FRANCIS D'SOUZA,10104,JD(S),SUBHASH G. NARVEKAR,3258,8,0,0.0,14153,14189,28342,2,0,2,14155,14189,28344,12,0,0.0,9269,9080,18349,0,0,0,38,0,0,18387,0,0,16,6,37.5,0.0,0.0,18387,3,8,0,0.0
6,02-Jun-2007,5-Jun-2007,05-Jun-2007,25,1026,True,7,1,8,1,0,1,0,0,0,6,1,7,3,1,4,20,0,0.0,BJP,DAYANAND MANDREKAR,7402,IND,PALIEMKAR UDAY,5400,8,0,0.0,12527,13140,25667,7,0,7,12534,13140,25674,12,0,0.0,8973,9010,17983,0,0,0,42,0,0,18025,0,0,16,6,37.5,0.0,0.0,18025,2,8,0,0.0
7,02-Jun-2007,5-Jun-2007,05-Jun-2007,29,959,True,3,1,4,0,0,0,0,0,0,3,1,4,1,0,1,20,0,0.0,INC,AGNELO FERNANDES,8319,UGDP,JOSEPH SEQUEIRA,5558,8,0,0.0,13758,14033,27791,18,17,35,13776,14050,27826,12,0,0.0,9758,9706,19464,0,0,0,41,0,0,19505,0,0,16,6,37.5,,3.0,19501,2,6,0,0.0
8,02-Jun-2007,5-Jun-2007,05-Jun-2007,21,1048,True,6,2,8,1,0,1,0,1,1,5,1,6,3,1,4,20,0,0.0,BJP,DILIP DNYANESHWAR PARULEKAR,6639,NCP,D'SOUZA WILFRED,4682,8,0,0.0,10747,11276,22023,3,0,3,10750,11276,22026,12,0,0.0,7493,7873,15366,0,0,0,45,0,0,15411,0,0,16,6,37.5,2.0,1.0,15408,3,8,0,0.0
9,02-Jun-2007,5-Jun-2007,05-Jun-2007,32,987,True,8,2,10,0,0,0,1,0,1,7,2,9,6,0,6,20,0,0.0,INC,DAYANAND GANESH NARVEKAR,9251,BJP,KUNDA CHODANKAR,6217,8,0,0.0,15321,16249,31570,15,7,22,15336,16256,31592,12,0,0.0,10531,11079,21610,0,0,0,147,0,0,21757,0,0,16,6,37.5,0.0,3.0,21754,6,8,0,0.0
10,02-Jun-2007,5-Jun-2007,05-Jun-2007,14,1066,True,9,3,12,0,0,0,7,3,10,2,0,2,0,0,0,20,0,0.0,BJP,MANOHAR GOPALKRISHNA PRABHU,6004,INC,PARRIKAR DINAR PURSHOTTAM KAMAT TARCAR,4560,8,0,0.0,7374,7562,14936,1,0,1,7375,7562,14937,12,0,0.0,5158,5287,10445,0,0,0,137,0,0,10582,0,0,16,6,37.5,18.0,0.0,10564,3,8,0,0.0
