Constituency_No,Dates_DATE_POLLING,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATION FILED_MEN,Candidates_Info_NOMINATION FILED_WOMEN,Candidates_Info_NOMINATION FILED_OTHERS,Candidates_Info_NOMINATION FILED_TOTAL,Candidates_Info_NOMINATION REJECTED_MEN,Candidates_Info_NOMINATION REJECTED_WOMEN,Candidates_Info_NOMINATION REJECTED_OTHERS,Candidates_Info_NOMINATION REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_OTHERS,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_OTHERS,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_OTHERS,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_OTHERS,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_OTHERS,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_OTHERS,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_OTHERS,Voters_Info_GENERAL_TOTAL,Voters_Info_PROXY_MEN,Voters_Info_PROXY_WOMEN,Voters_Info_PROXY_OTHERS,Voters_Info_PROXY_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_OTHERS,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_OTHERS,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_REJECTED VOTES_VALUE,Votes_Info_VOTES NOT RETREIVED FROM EVM_VALUE,Votes_Info_TOTAL VALID VOTES POLLED_VALUE,Votes_Info_TENDERED VOTES_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,03-Mar-2012,6-Mar-2012,6-Mar-2012,46,638,True,7,1,0,8,1,0,0,1,0,1,0,1,6,0,0,6,3,0,0,3,25,0,0.0,BJP,Laxmikant Parsekar,11955,INC,Dayanand Raghunath Sopte,8520,8,0,0.0,14811,14530,0,29341,18,5,0,23,14829,14535,0,29364,15,0,0.0,12530,12957,0,25487,0,0,0,0,479,0,0,0,25966,0,0,0,20,9,45.0,38.0,0,25928,1.0,8,0,0.0
2,03-Mar-2012,6-Mar-2012,6-Mar-2012,48,615,True,13,0,0,13,2,0,0,2,2,0,0,2,9,0,0,9,7,0,0,7,25,0,0.0,BJP,Rajendra Arlekar,16406,INC,Manohar Trimbak Ajgaoankar,8053,8,0,0.0,15020,14468,0,29488,20,7,0,27,15040,14475,0,29515,15,0,0.0,12709,12603,0,25312,0,0,0,0,628,0,0,0,25940,0,0,0,20,9,45.0,50.0,0,25890,0.0,8,0,0.0
3,03-Mar-2012,6-Mar-2012,6-Mar-2012,41,583,True,6,0,0,6,2,0,0,2,0,0,0,0,4,0,0,4,1,0,0,1,25,0,0.0,IND,Naresh Rajaram Sawal,8331,INC,Rajesh T. Patnekar,6532,8,0,0.0,12091,11800,0,23891,3,0,0,3,12094,11800,0,23894,15,0,0.0,10294,10279,0,20573,0,0,0,0,464,0,0,0,21037,0,0,0,20,9,45.0,43.0,0,20994,0.0,8,0,0.0
4,03-Mar-2012,6-Mar-2012,6-Mar-2012,38,621,True,5,2,0,7,0,2,0,2,0,0,0,0,5,0,0,5,3,0,0,3,25,0,0.0,BJP,Kiran Mohan Kandolkar,10473,NCP,Nilkanth Ramnath Halarnkar,9361,8,0,0.0,11747,11852,0,23599,5,3,0,8,11752,11855,0,23607,15,0,0.0,9669,10331,0,20000,0,0,0,0,315,0,0,0,20315,0,0,0,20,9,45.0,,0,20314,0.0,6,0,0.0
5,03-Mar-2012,6-Mar-2012,6-Mar-2012,42,611,True,6,1,0,7,1,0,0,1,2,0,0,2,3,1,0,4,1,1,0,2,25,0,0.0,BJP,Francis D'souza,14955,NCP,Ashish Tulshidas Shirodkar,4786,8,0,0.0,12754,12904,0,25658,1,0,0,1,12755,12904,0,25659,15,0,0.0,9842,10118,0,19960,0,0,0,0,296,0,0,0,20256,0,0,0,20,9,45.0,47.0,0,20209,1.0,8,0,0.0
6,03-Mar-2012,6-Mar-2012,6-Mar-2012,44,599,True,10,0,0,10,2,0,0,2,2,0,0,2,6,0,0,6,4,0,0,4,25,0,0.0,BJP,Dayanand Mandrekar,11430,INC,Uday Dattaram Paliemkar,9259,8,0,0.0,12882,13453,0,26335,8,1,0,9,12890,13454,0,26344,15,0,0.0,10231,11135,0,21366,0,0,0,0,299,0,0,0,21665,0,0,0,20,9,45.0,30.0,0,21635,1.0,8,0,0.0
7,03-Mar-2012,6-Mar-2012,6-Mar-2012,39,610,True,11,2,0,13,0,1,0,1,1,1,0,2,10,0,0,10,8,0,0,8,25,0,0.0,BJP,Dilip Parulekar,10084,IND,D'souza Tulio,4276,8,0,0.0,11780,11961,0,23741,22,19,0,41,11802,11980,0,23782,15,0,0.0,9302,9882,0,19184,0,0,0,0,259,0,0,0,19443,0,0,0,20,9,45.0,34.0,0,19409,1.0,8,0,0.0
8,03-Mar-2012,6-Mar-2012,6-Mar-2012,33,672,True,4,1,0,5,0,1,0,1,0,0,0,0,4,0,0,4,2,0,0,2,25,0,0.0,BJP,Michael Vincent Lobo,9891,INC,Agnelo Nicholas Fernandes,8022,8,0,0.0,10851,11325,0,22176,1,1,0,2,10852,11326,0,22178,15,0,0.0,8676,9560,0,18236,0,0,0,0,114,0,0,0,18350,0,0,0,20,9,45.0,2.0,0,18348,1.0,8,0,0.0
9,03-Mar-2012,6-Mar-2012,6-Mar-2012,38,558,True,8,2,0,10,1,0,0,1,3,1,0,4,4,1,0,5,2,1,0,3,25,0,0.0,IND,Rohan Khaunte,7972,BJP,Govind Parvatkar,7071,8,0,0.0,10473,10719,0,21192,11,6,0,17,10484,10725,0,21209,15,0,0.0,8106,8761,0,16867,0,0,0,0,367,0,0,0,17234,0,0,0,20,9,45.0,42.0,561,16631,1.0,8,0,0.0
10,03-Mar-2012,6-Mar-2012,6-Mar-2012,41,613,True,5,2,0,7,0,2,0,2,0,0,0,0,5,0,0,5,3,0,0,3,25,0,0.0,BJP,Ticlo Glenn J V A E Souza,11315,INC,Dayanand G. Narvekar,7839,8,0,0.0,12214,12890,0,25104,7,1,0,8,12221,12891,0,25112,15,0,0.0,9358,10678,0,20036,0,0,0,0,278,0,0,0,20314,0,0,0,20,9,45.0,25.0,0,20289,0.0,8,0,0.0
