Constituency_No,Uncontested,Women_Col_Forced,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,KRISHNA SINGH,16132.0,IND,KAMLA RAM,3207.0,8,0,0.0,89586,0,89586,0,0,0,89586,0,89586,9,2,22.22222222222222,23277,0,23277,0,0,0,23277,0,23277,9,2,22.22222222222222,23277,22448,829,0,0,10,0,0.0
2,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,TREPAN SINGH,16887.0,CPI,VIDYA SAGAR,4287.0,8,0,0.0,98852,0,98852,0,0,0,98852,0,98852,9,2,22.22222222222222,27062,0,27062,0,0,0,27062,0,27062,9,2,22.22222222222222,27062,25626,1436,0,0,10,0,0.0
3,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,VINAYA LAXMI,9901.0,IND,GYAN SINGH,5974.0,8,0,0.0,84506,0,84506,0,0,0,84506,0,84506,9,2,22.22222222222222,19555,0,19555,0,0,0,19555,0,19555,9,2,22.22222222222222,19555,18867,688,0,0,10,0,0.0
4,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,JAGMOHAN SINGH NEGI,13984.0,IND,BHAIRAB DATT DHULIA,12398.0,8,0,0.0,72466,0,72466,0,0,0,72466,0,72466,9,2,22.22222222222222,30691,0,30691,0,0,0,30691,0,30691,9,2,22.22222222222222,30691,29315,1376,0,0,10,0,0.0
5,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,MUKANDI LAL,16934.0,INC,RAM PRASAD,11353.0,8,0,0.0,78117,0,78117,0,0,0,78117,0,78117,9,2,22.22222222222222,29781,0,29781,0,0,0,29781,0,29781,9,2,22.22222222222222,29781,28287,1494,0,0,10,0,0.0
6,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,CHANDRA SINGH,13015.0,IND,KUNWAR SINGH,2979.0,8,0,0.0,79477,0,79477,0,0,0,79477,0,79477,9,2,22.22222222222222,20939,0,20939,0,0,0,20939,0,20939,9,2,22.22222222222222,20939,19503,1436,0,0,10,0,0.0
7,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,PSP,GANGADHAR,9320.0,INC,NARENDRA SINGH BHANDARI,8540.0,8,0,0.0,66797,0,66797,0,0,0,66797,0,66797,9,2,22.22222222222222,22310,0,22310,0,0,0,22310,0,22310,9,2,22.22222222222222,22310,21425,885,0,0,10,0,0.0
8,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,YOGESHWAR PRASAD KHANDURI,10584.0,IND,RAM PRASAD BAHUGUNA,6870.0,8,0,0.0,74635,0,74635,0,0,0,74635,0,74635,9,2,22.22222222222222,20736,0,20736,0,0,0,20736,0,20736,9,2,22.22222222222222,20736,19419,1317,0,0,10,0,0.0
9,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,NARENDRA SINGH,8847.0,PSP,LILA RAM,6584.0,8,0,0.0,77893,0,77893,0,0,0,77893,0,77893,9,2,22.22222222222222,20044,0,20044,0,0,0,20044,0,20044,9,2,22.22222222222222,20044,18884,1160,0,0,10,0,0.0
10,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,KHUSHI RAM,6370.0,PSP,JAYANT LAL,5457.0,8,0,0.0,83314,0,83314,0,0,0,83314,0,83314,9,2,22.22222222222222,14092,0,14092,0,0,0,14092,0,14092,9,2,22.22222222222222,14092,13476,616,0,0,10,0,0.0
