Constituency_No,Uncontested,Women_Col_Forced,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_BALLOT PAPER SET APART_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,False,False,20-05-1991,281,602,True,0,0,0,0,0,0,0,0,0,6,1,7,3,1,4,20,9,45.0,BJP,GYAN CHAND,30707.0,INC,NATHI LAL SHAH,19199.0,8,0,0.0,86898,82356,169254,0,0,0,86898,82356,169254,12,0,0.0,52569,29250,81819,0,0,0,52569,29250,81819,12,0,0.0,81819,76085,5734,0,0,0,12,0,0.0
2,False,False,20-05-1991,266,698,True,0,0,0,0,0,0,0,0,0,16,0,16,13,0,13,20,9,45.0,BJP,LAKHI RAM JOSHI,21449.0,INC,ABBAL SINGH BIST,17631.0,8,0,0.0,94951,90757,185708,0,0,0,94951,90757,185708,12,0,0.0,44562,32534,77096,0,0,0,44562,32534,77096,12,0,0.0,77096,71292,5804,0,0,0,12,0,0.0
3,False,False,20-05-1991,228,762,True,0,0,0,0,0,0,0,0,0,12,0,12,10,0,10,20,9,45.0,BJP,MATBAR SINGH KANDARI,28872.0,INC,DHARAM SINGH BHANDARI,12677.0,8,0,0.0,85984,87845,173829,0,0,0,85984,87845,173829,12,0,0.0,39696,29408,69104,0,0,0,39696,29408,69104,12,0,0.0,69104,65323,3781,0,0,0,12,0,0.0
4,False,False,20-05-1991,232,746,True,0,0,0,0,0,0,0,0,0,17,0,17,14,0,14,20,9,45.0,INC,BHARAT SINGH RAWAT,20528.0,BJP,MOHAN SINGH,20050.0,8,0,0.0,81245,91919,173164,0,0,0,81245,91919,173164,12,0,0.0,39794,40564,80358,0,0,0,39794,40564,80358,12,0,0.0,80358,72626,7732,0,0,0,12,0,0.0
5,False,False,20-05-1991,229,686,True,0,0,0,0,0,0,0,0,0,12,1,13,10,1,11,20,9,45.0,BJP,HARAK SINGH,31977.0,INC,PUSHKAR SINGH RAUTHAN,21185.0,8,0,0.0,84969,72134,157103,0,0,0,84969,72134,157103,12,0,0.0,35031,35596,70627,0,0,0,35031,35596,70627,12,0,0.0,70627,65611,5016,0,0,0,12,0,0.0
6,False,False,20-05-1991,237,658,True,0,0,0,0,0,0,0,0,0,13,0,13,11,0,11,20,9,45.0,BJP,RAMESH POKHARIYAL NISHANK,29913.0,INC,SHIVA NAND NAUTIYAL,26137.0,8,0,0.0,68920,86919,155839,0,0,0,68920,86919,155839,12,0,0.0,36703,37597,74300,0,0,0,36703,37597,74300,12,0,0.0,74300,70223,4077,0,0,0,12,0,0.0
7,False,False,20-05-1991,308,626,True,0,0,0,0,0,0,0,0,0,16,1,17,14,1,15,20,9,45.0,BJP,KEDAR SINGH PHONIYA,33807.0,INC,KUNWAR SINGH NEGI,27548.0,8,0,0.0,94689,98254,192943,0,0,0,94689,98254,192943,12,0,0.0,53139,38981,92120,0,0,0,53139,38981,92120,12,0,0.0,92120,87062,5058,0,0,0,12,0,0.0
8,False,False,20-05-1991,202,785,True,0,0,0,0,0,0,0,0,0,15,0,15,12,0,12,20,9,45.0,INC,LILARAM SHARMA,24534.0,BJP,NARAYAN SINGH BHESORA,17112.0,8,0,0.0,76154,82392,158546,0,0,0,76154,82392,158546,12,0,0.0,40639,26249,66888,0,0,0,40639,26249,66888,12,0,0.0,66888,62104,4784,0,0,0,12,0,0.0
9,False,False,20-05-1991,209,806,True,0,0,0,0,0,0,0,0,0,13,0,13,11,0,11,20,9,45.0,BJP,SRI KRISHAN CHANDRA,31806.0,INC,MAHENDRA SINGH MAHRA ( MAHOO BHAI ),26697.0,8,0,0.0,83009,85469,168478,0,0,0,83009,85469,168478,12,0,0.0,44850,27945,72795,0,0,0,44850,27945,72795,12,0,0.0,72795,69316,3479,0,0,0,12,0,0.0
10,False,False,20-05-1991,244,770,True,0,0,0,0,0,0,0,0,0,12,1,13,11,0,11,20,9,45.0,BJP,PURAN CHANDRA SHARMA,30745.0,INC,SARASWATI TIWARI,23849.0,8,0,0.0,89624,98213,187837,0,0,0,89624,98213,187837,12,0,0.0,44006,31576,75582,0,0,0,44006,31576,75582,12,0,0.0,75582,71936,3646,0,0,0,12,0,0.0
