State_Name,Year,Assembly_No,Constituency_No,min_poll,no_of_elections,Correct_Assembly_Number,Comments,Doer
Andhra_Pradesh,1985,8,85,0,2,,Correct,AA
Andhra_Pradesh,1985,8,180,0,2,7,Assembly Number Incorrect,AA
Andhra_Pradesh,1985,8,289,0,2,,Correct,AA
Andhra_Pradesh,2004,12,213,0,2,,Correct,AA
Andhra_Pradesh,2004,12,220,0,2,,Correct,AA
Andhra_Pradesh,2009,13,122,0,2,,Correct,AA
Andhra_Pradesh,2014,14,15,0,2,,Constituency Number Mismatch ( CHEEPURUPALLE & ALLAGADDA),AA
Andhra_Pradesh,2014,14,83,0,2,,Correct,AA
Arunachal_Pradesh,2014,9,58,0,2,,Correct,AA
Arunachal_Pradesh,2019,10,56,0,2,,Correct,AA
Assam,1996,10,86,0,2,,Correct,AA
Assam,2001,11,100,0,2,,Correct,AA
Assam,2001,11,116,0,2,,"Data in Poll_No=1 is exact copy of Poll_No = 0. Seems that Poll_No=0 was adjourned, and this seat was filled in a bye-poll. That's why the Stat Report also has the same data and this data has been duplicated. Thoughts?",AA
Assam,2006,12,90,0,2,,Correct,AA
Assam,2016,14,20,0,2,,Correct,AA
Assam,2021,15,28,0,2,,Correct,AA
Assam,2021,15,41,0,2,,Correct,AA
Assam,2021,15,58,0,2,,Correct,AA
Assam,2021,15,101,0,2,,Correct,AA
Assam,2021,15,107,0,2,,Correct,AA
Bihar,1972,6,271,0,2,,Correct,AA
Bihar,1980,8,22,0,2,7,Assembly Number Incorrect,AA
Bihar,1980,8,153,0,2,7,Assembly Number Incorrect,AA
Bihar,1980,8,193,0,2,7,Assembly Number Incorrect,AA
Bihar,1985,9,111,0,2,,Correct,AA
Bihar,1985,9,120,0,2,,Correct,AA
Bihar,2000,12,46,0,2,,Correct,AA
Bihar,2000,12,188,0,2,,Correct,AA
Bihar,2000,12,283,0,2,,Correct,AA
Bihar,2010,15,27,0,2,,GE bye-poll not AE bye-poll,AA
Chhattisgarh,2008,2,63,0,2,1,Assembly Number Incorrect,AA
Delhi,1998,6,50,0,2,5,Assembly Number Incorrect,AA
Gujarat,1980,5,48,0,2,4,Assembly Number Incorrect,AA
Gujarat,1980,5,56,0,2,4,Assembly Number Incorrect,AA
Gujarat,1980,5,147,0,2,4,Assembly Number Incorrect,AA
Gujarat,1980,5,149,0,2,4,Assembly Number Incorrect,AA
Gujarat,1985,6,148,0,2,,Correct,AA
Gujarat,2002,10,18,0,2,9,Assembly Number Incorrect,AA
Gujarat,2002,10,148,0,2,9,Assembly Number Incorrect,AA
Gujarat,2002,10,165,0,2,9,Assembly Number Incorrect,AA
Gujarat,2012,12,84,0,2,11,Assembly Number Incorrect,AA
Haryana,1967,1,45,0,2,,Correct,AA
Haryana,1996,8,35,0,2,,Correct,AA
Haryana,2000,9,83,0,2,,Correct,AA
Haryana,2005,10,29,0,2,,Correct,AA
Haryana,2005,10,67,0,2,,Correct,AA
Haryana,2005,10,74,0,2,,Correct,AA
Haryana,2019,13,36,0,2,12,Assembly Number Incorrect,AA
Himachal_Pradesh,1998,9,43,0,2,,Correct,AA
Himachal_Pradesh,2017,13,36,0,2,12,Assembly Number Incorrect,AA
Jharkhand,2009,2,9,0,2,1,Assembly Number Incorrect,AA
Jharkhand,2009,2,58,0,2,1,Assembly Number Incorrect,AA
Karnataka,1978,1,115,0,2,,Correct,AA
Karnataka,1985,3,92,0,2,,Correct,AA
Karnataka,1985,3,202,0,2,,Correct,AA
